(06/04/2020, 05:05:00) Kofi_Dupree[SQLID: 1221] je radi neaktivnosti izgubio posao ID 5 i 12 sati ugovora.
(06/04/2020, 05:05:00) Paul_Robbins[SQLID: 5900] je radi neaktivnosti izgubio posao ID 15 i 3 sati ugovora.
(06/04/2020, 05:05:00) Tommy_Johnsonn[SQLID: 5917] je radi neaktivnosti izgubio posao ID 4 i 3 sati ugovora.
(06/04/2020, 05:05:00) Don_Vito[SQLID: 5994] je radi neaktivnosti izgubio posao ID 1 i 0 sati ugovora.
(06/04/2020, 05:05:00) Vito_Scalleta[SQLID: 6040] je radi neaktivnosti izgubio posao ID 15 i 1 sati ugovora.
(07/04/2020, 05:05:00) Michael_Brick[SQLID: 542] je radi neaktivnosti izgubio posao ID 7 i 14 sati ugovora.
(07/04/2020, 05:05:00) Anthony_McGregor[SQLID: 965] je radi neaktivnosti izgubio posao ID 7 i 0 sati ugovora.
(07/04/2020, 05:05:00) Jevonte_Manning[SQLID: 1848] je radi neaktivnosti izgubio posao ID 1 i 3 sati ugovora.
(07/04/2020, 05:05:00) Kyoto_Hamasaki[SQLID: 4619] je radi neaktivnosti izgubio posao ID 7 i 43 sati ugovora.
(07/04/2020, 05:05:00) David_Chambers[SQLID: 5407] je radi neaktivnosti izgubio posao ID 7 i 51 sati ugovora.
(07/04/2020, 05:05:00) Shewann_Sellvio[SQLID: 5844] je radi neaktivnosti izgubio posao ID 15 i 2 sati ugovora.
(07/04/2020, 05:05:00) Raul_Garrido[SQLID: 5940] je radi neaktivnosti izgubio posao ID 7 i 15 sati ugovora.
(07/04/2020, 05:05:00) Devin_Hack[SQLID: 5965] je radi neaktivnosti izgubio posao ID 5 i 3 sati ugovora.
(07/04/2020, 05:05:00) Latrell_Harris[SQLID: 6019] je radi neaktivnosti izgubio posao ID 7 i 2 sati ugovora.
(07/04/2020, 05:05:00) Terry_Donovan[SQLID: 6039] je radi neaktivnosti izgubio posao ID 5 i 1 sati ugovora.
(07/04/2020, 05:05:00) Muhamad_Johanson[SQLID: 6052] je radi neaktivnosti izgubio posao ID 7 i 1 sati ugovora.
(07/04/2020, 05:05:00) Kane_Mendez[SQLID: 6056] je radi neaktivnosti izgubio posao ID 7 i 0 sati ugovora.
(07/04/2020, 05:05:00) Vasilije_Mosurovic[SQLID: 6062] je radi neaktivnosti izgubio posao ID 8 i 0 sati ugovora.
(08/04/2020, 05:05:00) Curtis_Miller[SQLID: 904] je radi neaktivnosti izgubio posao ID 3 i 1 sati ugovora.
(08/04/2020, 05:05:00) Louis_Richardson[SQLID: 5630] je radi neaktivnosti izgubio posao ID 7 i 10 sati ugovora.
(08/04/2020, 05:05:00) Treshawn_Campbell[SQLID: 6055] je radi neaktivnosti izgubio posao ID 7 i 4 sati ugovora.
(08/04/2020, 05:05:00) Andrew_Sanders[SQLID: 6080] je radi neaktivnosti izgubio posao ID 7 i 1 sati ugovora.
(08/04/2020, 05:05:00) Joe_Aiello[SQLID: 6090] je radi neaktivnosti izgubio posao ID 4 i 0 sati ugovora.
(09/04/2020, 05:05:01) Kosta_Savic[SQLID: 490] je radi neaktivnosti izgubio posao ID 9 i 10 sati ugovora.
(09/04/2020, 05:05:01) Sreten_Knezevic[SQLID: 1537] je radi neaktivnosti izgubio posao ID 13 i 1 sati ugovora.
(09/04/2020, 05:05:01) James_Matthows[SQLID: 6059] je radi neaktivnosti izgubio posao ID 5 i 3 sati ugovora.
(10/04/2020, 05:05:00) Pancho_Hernandez[SQLID: 5801] je radi neaktivnosti izgubio posao ID 9 i 1 sati ugovora.
(10/04/2020, 05:05:00) Raka_Erdeljanovic[SQLID: 6130] je radi neaktivnosti izgubio posao ID 15 i 1 sati ugovora.
(10/04/2020, 05:05:00) Ratko_Lazic[SQLID: 6137] je radi neaktivnosti izgubio posao ID 2 i 1 sati ugovora.
(11/04/2020, 05:05:00) Tyreice_Blair[SQLID: 4299] je radi neaktivnosti izgubio posao ID 9 i 3 sati ugovora.
(11/04/2020, 05:05:00) Acacio_Perretti[SQLID: 5939] je radi neaktivnosti izgubio posao ID 5 i 3 sati ugovora.
(11/04/2020, 05:05:00) Rudy_Loza[SQLID: 6065] je radi neaktivnosti izgubio posao ID 7 i 2 sati ugovora.
(11/04/2020, 05:05:00) Caitlyn_Brooks[SQLID: 6076] je radi neaktivnosti izgubio posao ID 7 i 1 sati ugovora.
(11/04/2020, 05:05:00) Randy_Undertaker[SQLID: 6159] je radi neaktivnosti izgubio posao ID 5 i 0 sati ugovora.
(11/04/2020, 05:05:00) Marty_Deeks[SQLID: 6165] je radi neaktivnosti izgubio posao ID 2 i 0 sati ugovora.
(11/04/2020, 05:05:00) Bradshaw_Houston[SQLID: 6166] je radi neaktivnosti izgubio posao ID 15 i 1 sati ugovora.
(11/04/2020, 05:05:00) Timothy_Svyatoslavov[SQLID: 6169] je radi neaktivnosti izgubio posao ID 9 i 37 sati ugovora.
(11/04/2020, 05:05:00) Ethan_Irving[SQLID: 6173] je radi neaktivnosti izgubio posao ID 1 i 1 sati ugovora.
(12/04/2020, 05:05:00) Tom_Mangano[SQLID: 66] je radi neaktivnosti izgubio posao ID 5 i 4 sati ugovora.
(12/04/2020, 05:05:00) Kenneth_Murray[SQLID: 636] je radi neaktivnosti izgubio posao ID 7 i 1 sati ugovora.
(12/04/2020, 05:05:00) Stefan_Gavrilovic[SQLID: 1968] je radi neaktivnosti izgubio posao ID 9 i 35 sati ugovora.
(12/04/2020, 05:05:00) Dieuson_Octave[SQLID: 5912] je radi neaktivnosti izgubio posao ID 9 i 43 sati ugovora.
(12/04/2020, 05:05:00) Pierre_Delince[SQLID: 5930] je radi neaktivnosti izgubio posao ID 9 i 26 sati ugovora.
(12/04/2020, 05:05:00) Johnny_Garrido[SQLID: 5941] je radi neaktivnosti izgubio posao ID 3 i 0 sati ugovora.
(12/04/2020, 05:05:00) Anthony_Strollo[SQLID: 6089] je radi neaktivnosti izgubio posao ID 4 i 1 sati ugovora.
(12/04/2020, 05:05:00) Alex_White[SQLID: 6121] je radi neaktivnosti izgubio posao ID 15 i 13 sati ugovora.
(12/04/2020, 05:05:00) Emilio_Gaviria[SQLID: 6188] je radi neaktivnosti izgubio posao ID 1 i 1 sati ugovora.
(12/04/2020, 05:05:00) Jackson_West[SQLID: 6202] je radi neaktivnosti izgubio posao ID 1 i 2 sati ugovora.
(12/04/2020, 05:05:00) Jameson_Blackburn[SQLID: 6203] je radi neaktivnosti izgubio posao ID 15 i 0 sati ugovora.
(13/04/2020, 05:05:00) Jackson_Scofield[SQLID: 543] je radi neaktivnosti izgubio posao ID 7 i 98 sati ugovora.
(13/04/2020, 05:05:00) Lucas_Garrido[SQLID: 5937] je radi neaktivnosti izgubio posao ID 5 i 3 sati ugovora.
(13/04/2020, 05:05:00) Sarah_Westwood[SQLID: 6012] je radi neaktivnosti izgubio posao ID 7 i 12 sati ugovora.
(13/04/2020, 05:05:00) Manuccio_Sercilliano[SQLID: 6210] je radi neaktivnosti izgubio posao ID 1 i 1 sati ugovora.
(13/04/2020, 05:05:00) Michael_Smith[SQLID: 6211] je radi neaktivnosti izgubio posao ID 7 i 0 sati ugovora.
(13/04/2020, 05:05:00) Miljan_Kemi[SQLID: 6214] je radi neaktivnosti izgubio posao ID 7 i 0 sati ugovora.
(14/04/2020, 05:05:00) Darrell_Chapman[SQLID: 998] je radi neaktivnosti izgubio posao ID 9 i 12 sati ugovora.
(14/04/2020, 05:05:00) Tyrese_Payne[SQLID: 1215] je radi neaktivnosti izgubio posao ID 5 i 1 sati ugovora.
(14/04/2020, 05:05:00) Nathan_Williams[SQLID: 1608] je radi neaktivnosti izgubio posao ID 1 i 3 sati ugovora.
(14/04/2020, 05:05:00) Yoel_Gruman[SQLID: 2471] je radi neaktivnosti izgubio posao ID 5 i 4 sati ugovora.
(14/04/2020, 05:05:00) Richard_Boiardo[SQLID: 6088] je radi neaktivnosti izgubio posao ID 4 i 4 sati ugovora.
(14/04/2020, 05:05:00) Paco_Valdez[SQLID: 6092] je radi neaktivnosti izgubio posao ID 4 i 22 sati ugovora.
(14/04/2020, 05:05:00) Hugo_Vernier[SQLID: 6094] je radi neaktivnosti izgubio posao ID 9 i 20 sati ugovora.
(14/04/2020, 05:05:00) Terrell_Thompson[SQLID: 6111] je radi neaktivnosti izgubio posao ID 7 i 2 sati ugovora.
(14/04/2020, 05:05:00) Spiro_Sotelo[SQLID: 6171] je radi neaktivnosti izgubio posao ID 7 i 4 sati ugovora.
(14/04/2020, 05:05:00) Milan_Karadzic[SQLID: 6212] je radi neaktivnosti izgubio posao ID 2 i 1 sati ugovora.
(14/04/2020, 05:05:00) Nemanja_Abrlic[SQLID: 6237] je radi neaktivnosti izgubio posao ID 2 i 1 sati ugovora.
(14/04/2020, 05:05:00) Matteo_Capone[SQLID: 6246] je radi neaktivnosti izgubio posao ID 1 i 0 sati ugovora.
(15/04/2020, 05:05:01) David_Mazur[SQLID: 1163] je radi neaktivnosti izgubio posao ID 3 i 3 sati ugovora.
(15/04/2020, 05:05:01) Carmelo_DiAntonio[SQLID: 1218] je radi neaktivnosti izgubio posao ID 2 i 7 sati ugovora.
(15/04/2020, 05:05:01) Blake_Bullock[SQLID: 5702] je radi neaktivnosti izgubio posao ID 7 i 243 sati ugovora.
(15/04/2020, 05:05:01) Jovan_Lazarov[SQLID: 5898] je radi neaktivnosti izgubio posao ID 7 i 3 sati ugovora.
(15/04/2020, 05:05:01) Darnell_Wattson[SQLID: 6138] je radi neaktivnosti izgubio posao ID 14 i 5 sati ugovora.
(15/04/2020, 05:05:01) Tim_Bredford[SQLID: 6201] je radi neaktivnosti izgubio posao ID 1 i 6 sati ugovora.
(15/04/2020, 05:05:01) James_Westwood[SQLID: 6238] je radi neaktivnosti izgubio posao ID 7 i 4 sati ugovora.
