
[28/08, 14:00:14] Marcus_Westbrook(109.92.154.101) je kupio biznis 115 od Michael_Valenza(185.18.60.233) za 1$
[28/08, 14:02:02] Michael_Valenza(185.18.60.233) je kupio biznis 20 od Martin_Kassaev(109.175.99.3) za 1$
[28/08, 14:03:56] Martin_Kassaev(109.175.99.3) je kupio biznis 115 od Marcus_Westbrook(109.92.154.101) za 1$
[28/08, 23:19:10] Pablo_Vasquez je kupio biznis 28($80000) (37.203.87.6).
[28/08, 23:44:29] Sado_Sahovic je kupio biznis 88($50000) (46.35.149.147).
[29/08, 14:06:17] Antonino_Accardo je kupio biznis 88($50000) (46.35.149.147).
[29/08, 21:31:24] Michael_Valenza je kupio biznis 14($30000) (83.179.233.25).
[30/08, 00:28:10] Paul_Smith je kupio biznis 126($30000) (178.222.183.153).
[30/08, 16:38:02] Brandon_Vercetti je kupio biznis 105($30000) (109.92.216.219).
[30/08, 22:27:16] Ramon_Cano(31.47.18.201) je kupio biznis 11 od Tom_Barnaby(91.191.51.242) za 115000$
[30/08, 22:30:12] Tom_Barnaby je kupio biznis 22($30000) (91.191.51.242).
[31/08, 22:40:20] Joe_Esperanto je kupio biznis 102($20000) (178.220.1.215).
[01/09, 00:12:42] Luca_Butler je kupio biznis 121($1) (212.200.65.80).
[01/09, 12:17:38] Armando_Villa(5.43.83.243) je kupio biznis 22 od Tom_Barnaby(91.191.51.242) za 24000$
[01/09, 14:22:06] Michael_Valenza je kupio biznis 119($35000) (95.178.208.208).
[01/09, 17:18:53] Elliot_Richards je kupio biznis 13($30000) (178.220.37.229).
[01/09, 21:43:17] Antonino_Accardo je kupio biznis 88($50000) (5.133.133.31).
[01/09, 22:51:16] Joe_Cresswell je kupio biznis 90($1) (46.5.231.91).
[02/09, 13:33:44] Valerija_Bulgakov(5.133.133.31) je kupio biznis 88 od Antonino_Accardo(5.133.133.31) za 1$
[02/09, 13:41:57] Antonino_Accardo je kupio biznis 120($30000) (5.133.133.31).
[02/09, 14:13:09] Ben_Dalton(91.191.51.242) je kupio biznis 120 od Antonino_Accardo(5.133.133.31) za 38000$
[02/09, 14:13:49] Antonino_Accardo je kupio biznis 80($25000) (5.133.133.31).
[02/09, 20:02:41] Edward_Burgess je kupio biznis 90($1) (91.191.52.218).
[02/09, 20:59:25] Juan_Esteban(31.176.235.225) je kupio biznis 80 od Antonino_Accardo(5.133.133.31) za 1$
[02/09, 21:01:55] Antonino_Accardo je kupio biznis 52($30000) (5.133.133.31).
[02/09, 21:36:29] Joe_Cresswell je kupio biznis 51($50000) (46.5.230.221).
[02/09, 21:49:15] Antonino_Accardo je kupio biznis 135($35000) (5.133.133.31).
[02/09, 22:24:49] Abel_Ruiz(31.223.132.88) je kupio biznis 12 od Richard_Hoyle(94.189.238.62) za 1$
[06/09, 11:58:58] Jonathan_Brown je kupio biznis 29($1) (89.246.122.40).
[07/09, 17:28:10] Noah_Williams je kupio biznis 20($25000) (83.179.207.36).
[07/09, 23:57:23] Brandon_Vercetti je kupio biznis 105($30000) (109.92.77.72).
[13/09, 21:25:45] Gary_Cox(87.116.164.31) je kupio biznis 22 od Armando_Villa(5.43.83.243) za 1$
[13/09, 23:30:18] Sato_Kiyoshi je kupio biznis 99($50000) (89.201.184.45).
[14/09, 10:25:54] Sato_Kiyoshi je kupio biznis 118($20000) (185.18.60.27).
[14/09, 11:57:51] Zoe_Cruz(178.149.86.44) je kupio biznis 53 od Conor_Lyons(178.149.86.44) za 1$
[14/09, 12:03:21] Conor_Lyons je kupio biznis 62($20000) (178.149.86.44).
[14/09, 22:18:58] Sato_Kiyoshi je kupio biznis 133($25000) (185.18.60.27).
[16/09, 01:14:31] Ethan_Clark je kupio biznis 14($30000) (212.200.33.74).
[16/09, 11:42:22] Sato_Kiyoshi je kupio biznis 61($1) (95.178.188.59).
[16/09, 11:45:19] Ronald_Baker je kupio biznis 117($20000) (178.149.240.92).
[16/09, 16:03:47] Veronica_Chavarez je kupio biznis 107($50000) (93.141.0.2).
[16/09, 19:06:01] Noah_Willson je kupio biznis 99($50000) (212.200.33.64).
[18/09, 13:57:19] Frankie_Moltisanti(109.207.42.83) je kupio biznis 102 od Douglas_Collins(178.220.29.67) za 10000$
[18/09, 21:10:04] Tohaku_Kugo(176.108.62.162) je kupio biznis 61 od Sato_Kiyoshi(5.43.183.237) za 1000$
[18/09, 21:15:20] Sato_Kiyoshi je kupio biznis 2($15000) (5.43.183.237).
[19/09, 18:16:15] Alyssa_Vergata je kupio biznis 115($20000) (31.223.140.98).
[20/09, 02:40:16] Ayuri_Kiyoshi je kupio biznis 18($25000) (87.116.164.31).
[21/09, 18:48:56] Kanjiro_Kawamura(95.178.140.242) je kupio biznis 18 od Kenji_Kazato(87.116.164.31) za 1$
[22/09, 17:49:03] Jake_Reynolds(77.222.25.38) je kupio biznis 92 od Fareed_Nawwaf(109.175.96.36) za 1$
[22/09, 18:04:59] Fareed_Nawwaf(109.175.96.36) je kupio biznis 28 od Naser_Krasniqi(37.203.85.64) za 300000$
[22/09, 18:06:56] Naser_Krasniqi je kupio biznis 31($35000) (37.203.85.64).
[24/09, 12:50:55] Besart_Hasani je kupio biznis 34($20000) (62.4.55.64).
[24/09, 23:54:10] Marco_McPaape(93.86.213.34) je kupio biznis 51 od Afrim_Izairi(93.139.22.144) za 9000$
[25/09, 00:26:59] Afrim_Izairi je kupio biznis 10($80000) (93.139.22.144).
[25/09, 19:38:52] Francesca_Pascale je kupio biznis 118($20000) (5.133.136.29).
[25/09, 20:26:24] Michael_Rogers je kupio biznis 40($30000) (109.93.195.251).
