
[14/05/2020 , 12:19:12] Jacob_Anderson(77.77.217.19) je uplatio 1$ u proracun.
[14/05/2020 , 12:30:35] Jacob_Anderson(77.77.217.19) je uplatio 1$ u proracun.
[14/05/2020 , 12:30:42] Jacob_Anderson(77.77.217.19) je uplatio 1$ u proracun.
[14/05/2020 , 12:35:36] Jacob_Anderson(77.77.217.19) je uplatio 1$ u proracun.
[14/05/2020 , 21:37:02] Allan_Houston(46.234.92.128) je uplatio 5000$ u proracun.
[14/05/2020 , 21:51:41] Viktor_Stern(109.175.96.108) je uplatio 1$ u proracun.
[15/05/2020 , 18:13:34] Jacob_Anderson(77.77.217.19) je uplatio 7$ u proracun.
[20/05/2020 , 00:36:23] Dazzline_Burton(62.240.25.43) je uplatio 31$ u proracun.
[21/05/2020 , 01:17:49] Rene_Strauss(31.45.225.163) je uplatio 5000$ u proracun.
[21/05/2020 , 01:17:54] James_McCharty(89.111.222.224) je uplatio 1$ u proracun.
[21/05/2020 , 01:18:01] Michael_Bryant(94.189.166.3) je uplatio 1$ u proracun.
[21/05/2020 , 01:19:23] Viktor_Stern(109.175.97.15) je uplatio 1$ u proracun.
[21/05/2020 , 01:19:39] Viktor_Stern(109.175.97.15) je uplatio 5000$ u proracun.
[25/05/2020 , 18:47:12] Bingham_Ainsworth(87.116.178.25) je uplatio 472$ u proracun.
[25/05/2020 , 18:47:18] Sam_Bowers(141.136.158.97) je uplatio 1$ u proracun.
[26/05/2020 , 02:31:57] Dazzline_Burton(185.10.142.14) je uplatio 100$ u proracun.
[27/05/2020 , 10:15:16] Jacob_Anderson(77.77.216.115) je uplatio 5$ u proracun.
[27/05/2020 , 10:17:16] Jacob_Anderson(77.77.216.115) je uplatio 1$ u proracun.
[28/05/2020 , 00:19:50] Mauricio_Manzano(178.79.52.1) je uplatio 10$ u proracun.
[28/05/2020 , 00:40:48] Ryuzaki_Kansuke(185.10.142.14) je uplatio 56$ u proracun.
[28/05/2020 , 22:49:13] Viktor_Stern(109.175.97.153) je uplatio 2$ u proracun.
[30/05/2020 , 01:00:01] Alan_Huang(89.111.215.48) je uplatio 5$ u proracun.
[02/06/2020 , 01:45:59] Dazzline_Burton(185.10.142.14) je uplatio 46$ u proracun.
[10/06/2020 , 17:53:01] Cletus_Hutchinson(80.80.34.2) je uplatio 10000$ u proracun.
[17/06/2020 , 22:57:23] Allan_Houston(46.234.93.200) je uplatio 500$ u proracun.
[21/06/2020 , 16:13:39] Ramo_Hadzic(77.238.211.99) je uplatio 1$ u proracun.
[23/06/2020 , 23:16:07] Ibrahimi_Kastrati(91.150.118.190) je uplatio 295$ u proracun.
[23/06/2020 , 23:17:05] Ibrahimi_Kastrati(91.150.118.190) je uplatio 2925$ u proracun.
[23/06/2020 , 23:18:39] Terry_Williams(93.86.103.219) je uplatio 1$ u proracun.
[23/06/2020 , 23:19:16] Raymond_Griffins(109.94.97.184) je uplatio 5$ u proracun.
[24/06/2020 , 23:28:22] Raymond_Griffins(109.94.97.184) je uplatio 1$ u proracun.
[01/07/2020 , 18:25:59] Conor_Lyons(178.149.208.137) je uplatio 43$ u proracun.
[08/07/2020 , 20:59:41] Conor_Lyons(178.149.208.137) je uplatio 8375$ u proracun.
[14/07/2020 , 15:54:10] Deborah_Estaughffe(89.216.162.139) je uplatio 1000$ u proracun.
[28/07/2020 , 14:57:38] Cletus_Hutchinson(80.80.33.204) je uplatio 10000$ u proracun.
[09/08/2020 , 21:54:20] Emmanuel_Belyea(185.10.142.62) je uplatio 500$ u proracun.
[16/08/2020 , 23:51:04] Melena_Cortez(78.3.236.233) je uplatio 5584$ u proracun.
[18/08/2020 , 16:01:37] Lada_Zakhaev(176.61.159.63) je uplatio 50$ u proracun.
[26/08/2020 , 16:33:25] Pablo_Galvez(193.14.247.242) je uplatio 1$ u proracun.
[26/08/2020 , 19:56:25] Deveron_Hodges(92.55.122.205) je uplatio 163$ u proracun.
[26/08/2020 , 20:31:01] Fiore_Pirozzi(89.111.246.210) je uplatio 1$ u proracun.
[29/08/2020 , 15:08:47] Pablo_Galvez() je uplatio 1$ u proracun.
[29/08/2020 , 18:30:08] Miguel_Moyano(109.245.38.138) je uplatio 430$ u proracun.
[29/08/2020 , 18:31:29] Miguel_Moyano(109.245.38.138) je uplatio 1$ u proracun.
[29/08/2020 , 22:13:28] Mickey_Yanlin(31.176.198.189) je uplatio 1700$ u proracun.
[31/08/2020 , 17:18:30] Melena_Cortez(93.141.113.244) je uplatio 5000$ u proracun.
[31/08/2020 , 22:27:25] Melena_Cortez(93.141.113.244) je uplatio 5000$ u proracun.
[02/09/2020 , 22:10:03] Victor_Grant(178.79.16.103) je uplatio 10596$ u proracun.
[03/09/2020 , 19:39:04] Urban_Paskov(109.163.134.48) je uplatio 356$ u proracun.
[03/09/2020 , 19:39:16] Urban_Paskov(109.163.134.48) je uplatio 3000$ u proracun.
[22/09/2020 , 17:00:36] Mason_Votschild(109.175.99.183) je uplatio 1$ u proracun.
[22/09/2020 , 17:31:37] Robert_Pennington(87.123.203.172) je uplatio 1226$ u proracun.
[27/09/2020 , 22:37:39] Winodolf_Regrott(77.77.219.25) je uplatio 3$ u proracun.
[03/10/2020 , 20:49:33] Pavle_Simovic(109.245.37.76) je uplatio 1$ u proracun.
[14/10/2020 , 18:40:02] Sato_Kiyoshi(89.201.184.51) je uplatio 3550$ u proracun.
