
[15/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Fatmir_Haradinaj sa $5000, razlog: IC
[15/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Aaron_Schaffner sa $1000000, razlog: IC
[15/04/2020] AdmCMD: Brent je novcano kaznio igraca Kristoffer_Klauss sa $300, razlog: IC
[16/04/2020] AdmCMD: BrownNN je novcano kaznio igraca Igor_Kostic sa $2500, razlog: IC
[16/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Luiggi_Brassco sa $300, razlog: IC
[17/04/2020] AdmCMD: iWay je novcano kaznio igraca Eric_Mcadams sa $300, razlog: lvl1
[17/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Eric_Mcadams sa $1000, razlog: IC
[17/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Davor_Simovic sa $465598, razlog: .
[17/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Fred_Holland sa $150, razlog: IC
[17/04/2020] AdmCMD: darwin je novcano kaznio igraca Raymond_Schulz sa $200, razlog: i kad ne budes
[18/04/2020] AdmCMD:  je novcano kaznio igraca Ngwa_Boboto sa $10000, razlog: Prijevremeni CN
[18/04/2020] AdmCMD: Runner je novcano kaznio igraca Declan_Adolfo sa $9999, razlog: .
[19/04/2020] AdmCMD: tacZo je novcano kaznio igraca Muller_Nielsen sa $300, razlog: IC
[19/04/2020] AdmCMD: tacZo je novcano kaznio igraca Blazo_Ivanovic sa $500, razlog: IC
[19/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Ralph_Masotti sa $500, razlog: .
[19/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Aaron_Schaffner sa $1000000, razlog: IC
[19/04/2020] AdmCMD: tacZo je novcano kaznio igraca Richard_Parker sa $250, razlog: IC
[19/04/2020] AdmCMD: tacZo je novcano kaznio igraca Mateo_Cazalla sa $350, razlog: IC
[19/04/2020] AdmCMD: Brent je novcano kaznio igraca Kurt_Zveigelt sa $150, razlog: IC
[20/04/2020] AdmCMD: darwin je novcano kaznio igraca Vuk_Koprivica sa $40000, razlog: weapon_warehouse
[20/04/2020] AdmCMD: Brent je novcano kaznio igraca Declan_Adolfo sa $3500, razlog: IC
[20/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Vincent_Smith sa $1500, razlog: .
[20/04/2020] AdmCMD: Brent je novcano kaznio igraca Patrik_Aleksandrov sa $70000, razlog: ribar
[20/04/2020] AdmCMD: tacZo je novcano kaznio igraca Shane_Thompson sa $350, razlog: IC
[20/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Keith_Sanders sa $300, razlog: IC
[21/04/2020] AdmCMD: iWay je novcano kaznio igraca Mile_Raonic sa $45000, razlog: fscheme
[22/04/2020] AdmCMD: BrownNN je novcano kaznio igraca Cleon_Xenos sa $2500, razlog: Jail_Price
[22/04/2020] AdmCMD: Unknown je novcano kaznio igraca Victor_Merlowitz sa $10000, razlog: bankrot
[22/04/2020] AdmCMD: Unknown je novcano kaznio igraca Victor_Merlowitz sa $100000, razlog: bankrot
[22/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Jasser_Ehad sa $1000000, razlog: IC
[22/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Dawit_Brown sa $4500, razlog: IC
[22/04/2020] AdmCMD: K3r1m je novcano kaznio igraca John_Flither sa $2000, razlog: IC
[22/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Edwin_Fitzgerald sa $10000, razlog: .
[23/04/2020] AdmCMD: Woo je novcano kaznio igraca Rene_Strauss sa $50000, razlog: IC
[23/04/2020] AdmCMD: iWay je novcano kaznio igraca Travis_Palmer sa $13000, razlog: test
