
[19/03/2020] George_Conley je dobio kick od Admina iWay, razlog: epp
[26/03/2020] Anna_McAdams je dobio kick od Admina BrownNN, razlog: Relog
[26/03/2020] Allison_Cottrell je dobio kick od Admina Runner, razlog: :(
[26/03/2020] Igor_Lavrov je dobio kick od Admina Runner, razlog: restart
[26/03/2020] Nathan_Williams je dobio kick od Admina Runner, razlog: Restart
[26/03/2020] Igor_Kostic je dobio kick od Admina Runner, razlog: Restart
[26/03/2020] Sreten_Knezevic je dobio kick od Admina Brent, razlog: /pm
[26/03/2020] Louis_Richardson je dobio kick od Admina Brent, razlog: Na zahtjev.
[26/03/2020] Daniel_Fuerte je dobio kick od Admina Brent, razlog: Na zahtjev.
[26/03/2020] Austin_Carter je dobio kick od Admina Riviera, razlog: /r
[26/03/2020] Louis_Bennett je dobio kick od Admina tacZo, razlog: /report
[26/03/2020] Austin_Carter je dobio kick od Admina tacZo, razlog: hladjenje
