(04/05/2020, 00:28:17) Mile_Raonic[SQL:285] je uzeo Shotgun(20) iz Warehousea Klan Amerika[SQL:9].
(04/05/2020, 11:34:18) Igor_Kostic[SQL:561] je uzeo Desert Eagle(61) iz Warehousea Klan Amerika[SQL:9].
(04/05/2020, 13:43:00) Igor_Kostic[SQL:561] je uzeo Desert Eagle(38) iz Warehousea Klan Amerika[SQL:9].
(04/05/2020, 21:04:00) Igor_Kostic[SQL:561] je uzeo Desert Eagle(38) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 00:06:35) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 00:06:56) Ljubomir_Milovanovic[SQL:785] je uzeo Desert Eagle(30) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 00:07:21) Ljubomir_Milovanovic[SQL:785] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 01:01:56) Igor_Kostic[SQL:561] je uzeo Desert Eagle(25) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 01:02:03) Ljubomir_Milovanovic[SQL:785] je uzeo Desert Eagle(30) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 01:02:59) Igor_Kostic[SQL:561] je uzeo Desert Eagle(25) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 16:22:08) Igor_Kostic[SQL:561] je uzeo AK47(30) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 16:22:14) Igor_Kostic[SQL:561] je uzeo M4(30) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 19:28:38) Ljubomir_Milovanovic[SQL:785] je uzeo Shotgun(20) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 19:28:43) Ljubomir_Milovanovic[SQL:785] je uzeo Desert Eagle(25) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 19:31:19) Ljubomir_Milovanovic[SQL:785] je uzeo UZI(60) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 21:03:13) Igor_Kostic[SQL:561] je uzeo M4(50) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 21:04:27) Igor_Kostic[SQL:561] je uzeo M4(60) iz Warehousea Klan Amerika[SQL:9].
(05/05/2020, 21:17:18) Igor_Kostic[SQL:561] je uzeo MP5(60) iz Warehousea Klan Amerika[SQL:9].
(06/05/2020, 12:30:26) Ljubomir_Milovanovic[SQL:785] je uzeo Shotgun(25) iz Warehousea Klan Amerika[SQL:9].
(06/05/2020, 12:30:53) Ljubomir_Milovanovic[SQL:785] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(06/05/2020, 12:33:05) Ljubomir_Milovanovic[SQL:785] je uzeo Silenced Pistol(58) iz Warehousea Klan Amerika[SQL:9].
(06/05/2020, 12:33:38) Ljubomir_Milovanovic[SQL:785] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(06/05/2020, 12:34:27) Ljubomir_Milovanovic[SQL:785] je uzeo Desert Eagle(25) iz Warehousea Klan Amerika[SQL:9].
(06/05/2020, 12:35:19) Ljubomir_Milovanovic[SQL:785] je uzeo Desert Eagle(25) iz Warehousea Klan Amerika[SQL:9].
(06/05/2020, 15:01:26) Igor_Kostic[SQL:561] je uzeo Desert Eagle(75) iz Warehousea Klan Amerika[SQL:9].
