
[25/08, 22:15:37] Jessica_Rodriguez je obrisao vozilo iz baze (MODEL: 478 | VEHID: 321 | SQLID: 2395)
[30/08, 17:32:04] Travis_Palmer je obrisao vozilo iz baze (MODEL: 468 | VEHID: 313 | SQLID: 145)
[30/08, 23:53:34] Ramon_Cano je obrisao vozilo iz baze (MODEL: 415 | VEHID: 322 | SQLID: 476)
[08/09, 20:15:56] Kyle_Palmer je obrisao vozilo iz baze (MODEL: 481 | VEHID: 326 | SQLID: 3947)
[09/09, 21:42:46] Kaori_Tomoko je obrisao vozilo iz baze (MODEL: 426 | VEHID: 321 | SQLID: 3855)
[09/09, 22:02:50] Kaori_Tomoko je obrisao vozilo iz baze (MODEL: 541 | VEHID: 328 | SQLID: 2090)
[16/09, 15:45:25] Xavier_Ombando je obrisao vozilo iz baze (MODEL: 415 | VEHID: 317 | SQLID: 240)
[16/09, 22:34:14] Chloe_McDouglas je obrisao vozilo iz baze (MODEL: 510 | VEHID: 311 | SQLID: 5340)
[17/09, 15:48:48] Dominic_Wattson je obrisao vozilo iz baze (MODEL: 481 | VEHID: 314 | SQLID: 4880)
[20/09, 13:16:54] Daniel_Butcher je obrisao vozilo iz baze (MODEL: 473 | VEHID: 311 | SQLID: 4250)
[22/09, 21:22:50] Jackie_Smith je obrisao vozilo iz baze (MODEL: 526 | VEHID: 345 | SQLID: 4167)
[22/09, 21:25:11] Eoghan_Quinlan je obrisao vozilo iz baze (MODEL: 525 | VEHID: 345 | SQLID: 4427)
[22/09, 21:29:44] Eoghan_Quinlan je obrisao vozilo iz baze (MODEL: 404 | VEHID: 345 | SQLID: 4483)
[22/09, 21:30:06] Eoghan_Quinlan je obrisao vozilo iz baze (MODEL: 602 | VEHID: 345 | SQLID: 3756)
[22/09, 22:57:10] Dmitri_Beqiri je obrisao vozilo iz baze (MODEL: 481 | VEHID: 319 | SQLID: 4606)
[22/09, 22:57:19] Ardi_Beqiri je obrisao vozilo iz baze (MODEL: 509 | VEHID: 353 | SQLID: 4614)
[02/10, 19:48:37] Louis_Buscemi je obrisao vozilo iz baze (MODEL: 579 | VEHID: 320 | SQLID: 4937)
[02/10, 19:49:38] Louis_Buscemi je obrisao vozilo iz baze (MODEL: 404 | VEHID: 320 | SQLID: 5406)
[10/10, 13:10:46] Victor_Azzari je obrisao vozilo iz baze (MODEL: 510 | VEHID: 309 | SQLID: 5030)
[15/10, 21:48:32] Nabih_Ayham je obrisao vozilo iz baze (MODEL: 415 | VEHID: 315 | SQLID: 5399)
